levocarnitine,CID100000085
aminolevulinic.acid,CID100000137
calcium.folinate,CID100000143
epoprostenol,CID100000159
adenosine,CID100000191
alprostadil,CID100000214
betaine,CID100000247
bupropion,CID100000444
estradiol,CID100000450
mannitol,CID100000453
acetylcysteine,CID100000581
cytarabine,CID100000596
mesna,CID100000598
estrone,CID100000698
glutamine,CID100000738
sodium.bicarbonate,CID100000767
nicotine,CID100000942
sodium.phosphate,CID100001003
quinidine,CID100001065
sapropterin,CID100001125
telbivudine,CID100001134
naproxen,CID100001301
cladribine,CID100001546
doxorubicin,CID100001690
epirubicin,CID100001690
fampridine,CID100001727
phenytoin,CID100001775
azacitidine,CID100001805
abacavir,CID100001971
amphotericin.B,CID100001972
acebutolol,CID100001978
paracetamol,CID100001983
aciclovir,CID100002022
albendazole,CID100002082
salbutamol,CID100002083
alendronic.acid,CID100002088
alfuzosin,CID100002092
allopurinol,CID100002094
alosetron,CID100002099
alprazolam,CID100002118
amantadine,CID100002130
theophylline,CID100002153
amiodarone,CID100002156
amisulpride,CID100002159
amlexanox,CID100002161
amlodipine,CID100002162
amoxicillin,CID100002171
amprenavir,CID100002177
amsacrine,CID100002179
anagrelide,CID100002182
anastrozole,CID100002187
apomorphine,CID100002215
apraclonidine,CID100002216
argatroban,CID100002232
atenolol,CID100002249
atorvastatin,CID100002250
azathioprine,CID100002265
azelaic.acid,CID100002266
azelastine,CID100002267
azithromycin,CID100002269
aztreonam,CID100002274
baclofen,CID100002284
beclometasone,CID100002308
benazepril,CID100002311
bepridil,CID100002351
betahistine,CID100002366
dexamethasone,CID100002367
betaxolol,CID100002369
bicalutamide,CID100002375
bisoprolol,CID100002405
brimonidine,CID100002435
bromazepam,CID100002441
bromocriptine,CID100002443
budesonide,CID100002462
bumetanide,CID100002471
bupivacaine,CID100002474
levobupivacaine,CID100002474
buprenorphine,CID100002476
buspirone,CID100002477
busulfan,CID100002478
butorphanol,CID100002487
cabergoline,CID100002512
caffeine,CID100002519
verapamil,CID100002520
calcitriol,CID100002524
candesartan,CID100002540
capsaicin,CID100002548
carbamazepine,CID100002554
carmustine,CID100002578
carvedilol,CID100002585
cefaclor,CID100002609
cefepime,CID100002622
cefprozil,CID100002646
ceftazidime,CID100002650
ceftriaxone,CID100002656
celecoxib,CID100002662
cefixime,CID100002675
cerivastatin,CID100002676
cetirizine,CID100002678
cevimeline,CID100002684
chlorambucil,CID100002708
chlortalidone,CID100002732
ciclopirox,CID100002749
cilazapril,CID100002751
cilostazol,CID100002754
cimetidine,CID100002756
ciprofloxacin,CID100002764
levofloxacin,CID100002764
citalopram,CID100002771
escitalopram,CID100002771
clindamycin,CID100002786
clobazam,CID100002789
clobetasol,CID100002791
clobetasone,CID100002792
clomifene,CID100002800
clomipramine,CID100002801
clonazepam,CID100002802
clonidine,CID100002803
clopidogrel,CID100002806
clozapine,CID100002818
colchicine,CID100002833
cromoglicic.acid,CID100002881
cyclobenzaprine,CID100002895
cyclophosphamide,CID100002907
ciclosporin,CID100002909
cyproterone,CID100002914
danazol,CID100002949
dantrolene,CID100002951
dapsone,CID100002955
daunorubicin,CID100002958
deferoxamine,CID100002973
dextromethorphan,CID100003008
eflornithine,CID100003009
diazepam,CID100003016
diclofenac,CID100003032
dicloxacillin,CID100003040
dicycloverine,CID100003042
didanosine,CID100003043
digoxin,CID100003062
dihydrocodeine,CID100003063
dihydroergotamine,CID100003066
diltiazem,CID100003075
dipyridamole,CID100003108
valproic.acid,CID100003121
docetaxel,CID100003143
dolasetron,CID100003148
donepezil,CID100003152
doxazosin,CID100003157
doxepin,CID100003158
droxidopa,CID100003171
trabectedin,CID100003199
efavirenz,CID100003203
enalapril,CID100003222
estazolam,CID100003261
estramustine,CID100003268
etoposide,CID100003310
famciclovir,CID100003324
famotidine,CID100003325
felbamate,CID100003331
fenofibrate,CID100003339
fentanyl,CID100003345
fexofenadine,CID100003348
finasteride,CID100003350
flecainide,CID100003355
flucloxacillin,CID100003364
fluconazole,CID100003365
fludarabine,CID100003367
flunisolide,CID100003379
flunitrazepam,CID100003380
fluocinonide,CID100003382
fluorouracil,CID100003385
fluoxetine,CID100003386
flutamide,CID100003397
fluvastatin,CID100003403
fluvoxamine,CID100003404
formoterol,CID100003410
foscarnet,CID100003414
fosfomycin,CID100003417
fosinopril,CID100003419
romidepsin,CID100003425
furosemide,CID100003440
fusidic.acid,CID100003443
gabapentin,CID100003446
galantamine,CID100003449
ganciclovir,CID100003454
gemcitabine,CID100003461
gemfibrozil,CID100003463
gliclazide,CID100003475
glimepiride,CID100003476
glipizide,CID100003478
glycopyrronium.bromide,CID100003494
granisetron,CID100003510
guanfacine,CID100003519
haloperidol,CID100003559
hydralazine,CID100003637
hydrochlorothiazide,CID100003639
hydrocortisone,CID100003642
hydromorphone,CID100003648
hydroxycarbamide,CID100003657
hyoscyamine,CID100003661
ibuprofen,CID100003672
lidocaine,CID100003676
idarubicin,CID100003685
ifosfamide,CID100003690
imipramine,CID100003696
indapamide,CID100003702
indinavir,CID100003706
indometacin,CID100003715
iodixanol,CID100003724
iohexol,CID100003730
iopamidol,CID100003734
iopromide,CID100003736
iotrolan,CID100003738
ipratropium.bromide,CID100003746
irbesartan,CID100003749
irinotecan,CID100003750
isradipine,CID100003784
itraconazole,CID100003793
ketorolac,CID100003826
labetalol,CID100003869
lamivudine,CID100003877
lamotrigine,CID100003878
dexlansoprazole,CID100003883
lansoprazole,CID100003883
latanoprost,CID100003890
leflunomide,CID100003899
letrozole,CID100003902
linezolid,CID100003929
lisinopril,CID100003937
lomefloxacin,CID100003948
loratadine,CID100003957
lorazepam,CID100003958
losartan,CID100003961
lovastatin,CID100003962
loxapine,CID100003964
maprotiline,CID100004011
chlormethine,CID100004033
medroxyprogesterone,CID100004042
megestrol,CID100004048
meloxicam,CID100004051
melphalan,CID100004053
memantine,CID100004054
mesalazine,CID100004075
orciprenaline,CID100004086
metformin,CID100004091
methotrexate,CID100004112
methylphenidate,CID100004158
metolazone,CID100004170
metoprolol,CID100004171
metronidazole,CID100004173
metyrapone,CID100004174
mexiletine,CID100004178
mianserin,CID100004184
miconazole,CID100004189
midazolam,CID100004192
midodrine,CID100004195
mifepristone,CID100004196
mirtazapine,CID100004205
mitoxantrone,CID100004212
armodafinil,CID100004236
modafinil,CID100004236
mometasone,CID100004240
montelukast,CID100004248
morphine,CID100004253
moxifloxacin,CID100004259
mupirocin,CID100004264
mycophenolic.acid,CID100004272
technetium.(99mTc).tetrofosmin,CID100004274
nabumetone,CID100004409
nadolol,CID100004411
nalmefene,CID100004422
naltrexone,CID100004428
naphazoline,CID100004436
naratriptan,CID100004440
nateglinide,CID100004443
nefazodone,CID100004449
nelfinavir,CID100004451
nevirapine,CID100004463
nifedipine,CID100004485
nilutamide,CID100004493
nimodipine,CID100004497
nisoldipine,CID100004499
glyceryl.trinitrate,CID100004510
nizatidine,CID100004513
norfloxacin,CID100004539
levonorgestrel,CID100004542
repaglinide,CID100004547
ofloxacin,CID100004583
olanzapine,CID100004585
omeprazole,CID100004594
ondansetron,CID100004595
orlistat,CID100004599
oseltamivir,CID100004603
oxaliplatin,CID100004609
oxybutynin,CID100004634
oxycodone,CID100004635
paclitaxel,CID100004666
pamidronic.acid,CID100004673
pantoprazole,CID100004679
paroxetine,CID100004691
penbutolol,CID100004724
penciclovir,CID100004725
penicillamine,CID100004727
pentamidine.isethionate,CID100004735
pentostatin,CID100004739
pentoxifylline,CID100004740
pergolide,CID100004745
sodium.phenylbutyrate,CID100004775
pilocarpine,CID100004819
pindolol,CID100004828
pioglitazone,CID100004829
piperacillin,CID100004834
pirbuterol,CID100004845
podophyllotoxin,CID100004865
pramipexole,CID100004885
pravastatin,CID100004889
prazosin,CID100004893
progesterone,CID100004920
propafenone,CID100004932
propranolol,CID100004946
pyridostigmine,CID100004991
quazepam,CID100004999
quetiapine,CID100005002
quinapril,CID100005005
rabeprazole,CID100005029
raloxifene,CID100005035
ramipril,CID100005038
sirolimus,CID100005040
rescinnamine,CID100005051
ribavirin,CID100005064
riluzole,CID100005070
rimantadine,CID100005071
risperidone,CID100005073
ritonavir,CID100005076
rivastigmine,CID100005077
rizatriptan,CID100005078
rofecoxib,CID100005090
ropinirole,CID100005095
salmeterol,CID100005152
stavudine,CID100005155
selegiline,CID100005195
sertraline,CID100005203
sildenafil,CID100005212
risedronic.acid,CID100005245
sotalol,CID100005253
sparfloxacin,CID100005257
imatinib,CID100005291
streptomycin,CID100005297
streptozocin,CID100005300
sumatriptan,CID100005358
tacrolimus,CID100005372
tamoxifen,CID100005376
gatifloxacin,CID100005379
tazarotene,CID100005381
temazepam,CID100005391
temozolomide,CID100005394
teniposide,CID100005396
terazosin,CID100005401
terbinafine,CID100005402
terbutaline,CID100005403
terconazole,CID100005404
testosterone,CID100005408
thalidomide,CID100005426
thiotepa,CID100005453
tiagabine,CID100005466
tiaprofenic.acid,CID100005468
timolol,CID100005478
tinidazole,CID100005479
tirofiban,CID100005486
tizanidine,CID100005487
tobramycin,CID100005496
tolterodine,CID100005512
topiramate,CID100005514
topotecan,CID100005515
toremifene,CID100005516
tramadol,CID100005523
trandolapril,CID100005525
tranexamic.acid,CID100005526
trazodone,CID100005533
alitretinoin,CID100005538
isotretinoin,CID100005538
tretinoin,CID100005538
triamcinolone,CID100005544
triazolam,CID100005556
trimethoprim,CID100005578
trimetrexate,CID100005582
tropisetron,CID100005595
trospium,CID100005596
delavirdine,CID100005625
ursodeoxycholic.acid,CID100005645
valaciclovir,CID100005647
valsartan,CID100005650
vancomycin,CID100005651
venlafaxine,CID100005656
vigabatrin,CID100005665
vinorelbine,CID100005672
zafirlukast,CID100005717
zaleplon,CID100005719
zanamivir,CID100005721
zidovudine,CID100005726
zolmitriptan,CID100005731
zolpidem,CID100005732
zonisamide,CID100005734
eszopiclone,CID100005735
oxytocin,CID100005771
phentolamine,CID100005775
vincristine,CID100005978
tetrabenazine,CID100006018
mercaptamine,CID100006058
hydroxyprogesterone,CID100006238
albumin,CID100006432
benzoyl.peroxide,CID100007187
aminophylline,CID100009433
sodium.oxybate,CID100010413
desonide,CID100012536
arsenic.trioxide,CID100014888
amiloride,CID100016230
pimozide,CID100016362
fluorescein,CID100016850
decitabine,CID100016886
hydrocodone,CID100022258
sodium.aurothiomalate,CID100022318
samarium.(153Sm).lexidronam,CID100023951
technetium.(99mTc).exametazime,CID100023957
isosorbide.mononitrate,CID100027661
desmopressin,CID100027991
conjugated.estrogens,CID100027993
dexrazoxane,CID100030623
oxcarbazepine,CID100034312
gonadorelin,CID100036523
halofantrine,CID100037392
pentosan.polysulfate.sodium,CID100037720
bezafibrate,CID100039042
nabilone,CID100039860
pinaverium,CID100040703
etonogestrel,CID100040976
acitretin,CID100041317
nitazoxanide,CID100041684
sufentanil,CID100041693
torasemide,CID100041781
desflurane,CID100042113
buserelin,CID100042615
misoprostol,CID100042955
lodoxamide,CID100044563
atracurium,CID100047319
nicorandil,CID100047528
naftifine,CID100047640
goserelin,CID100047725
alfentanil,CID100051263
miglustat,CID100051634
iloprost,CID100054313
octreotide,CID100054373
simvastatin,CID100054454
clarithromycin,CID100054688
treprostinil,CID100054786
atomoxetine,CID100054840
moexipril,CID100055331
milnacipran,CID100055480
fosphenytoin,CID100056338
ranolazine,CID100056959
imiquimod,CID100057469
rotigotine,CID100057537
levetiracetam,CID100059708
esmolol,CID100059768
tamsulosin,CID100060146
adapalene,CID100060164
perindopril,CID100060183
exemestane,CID100060198
dexmedetomidine,CID100060612
dexmethylphenidate,CID100060612
cidofovir,CID100060613
meropenem,CID100060706
temoporfin,CID100060751
ibutilide,CID100060752
saquinavir,CID100060787
aripiprazole,CID100060795
remifentanil,CID100060814
tiotropium.bromide,CID100060830
duloxetine,CID100060834
pemetrexed,CID100060843
ibandronic.acid,CID100060852
ziprasidone,CID100060853
olopatadine,CID100060864
levosimendan,CID100060867
adefovir.dipivoxil,CID100060871
emtricitabine,CID100060877
eprosartan,CID100060878
capecitabine,CID100060953
doxycycline,CID100062305
urofollitropin,CID100062819
fluticasone,CID100062924
trovafloxacin,CID100062959
valganciclovir,CID100064147
plerixafor,CID100065014
bendamustine,CID100065628
colestilan,CID100065840
reboxetine,CID100065856
lercanidipine,CID100065866
telmisartan,CID100065999
zoledronic.acid,CID100068740
brinzolamide,CID100068844
acamprosate,CID100071158
ropivacaine,CID100071273
nebivolol,CID100071301
dofetilide,CID100071329
